232
345	5940.4068 	2692.9989 	484.4781   1
346	5940.8725 	2692.4879 	776.9657   1
347	5940.5784 	2694.6028 	1166.0566  1
348	5940.0877 	2693.1303 	1543.9348  1
349	5939.6771 	2694.4110 	1911.7632  1
350	5935.6213 	3694.4433 	-1206.1233 1
351	5936.7336 	3694.5766 	-870.7452  1
352	5935.8420 	3695.0199 	-492.7082  1
353	5936.6600 	3694.1814 	-113.4213  1
354	5935.6627 	3693.5189 	193.5846   1
355	5934.9818 	3693.2948 	488.0094   1
356	5935.3068 	3692.9622 	792.7535   1
357	5933.2737 	3692.3376 	1169.2688  1
358	5934.4555 	3690.8543 	1554.5688  1
359	5933.3555 	3689.9547 	1902.2097  1
360	5933.5994 	4536.5498 	-1249.8379 1
361	5933.1330 	4536.3072 	-871.8998  1
362	5930.8945 	4536.9791 	-481.3055  1
363	5931.3798 	4535.8508 	-86.3371   1
364	5929.0823 	4537.5525 	303.2739   1
365	5929.8567 	4535.8320 	709.2538   1
366	5927.5657 	4536.7154 	1114.2128  1
367	5929.3617 	4535.2369 	1499.9974  1
368	5930.8271 	4532.3348 	1910.2846  1
370	5927.8565 	5336.4229 	-1209.9196 1
371	5927.7978 	5335.4596 	-880.1785  1
372	5926.1852 	5334.6088 	-490.9909  1
373	5924.6911 	5332.6374 	-101.9771  1
374	5925.6752 	5335.7102 	304.2987   1
375	5926.2205 	5334.4638 	702.3268   1
376	5924.4977 	5333.8516 	1104.0128  1
377	5924.2526 	5333.3970 	1498.4729  1
378	5925.4425 	5331.7174 	1906.8669  1
400	7011.1973 	-313.0052 	-1457.5440 1
401	7027.2042 	-334.1977 	-831.3624  1
402	7028.0683 	-342.7854 	-231.7821  1
403	7029.7777 	-349.6367 	370.3682   1
404	7028.5433 	-362.9757 	969.4285   1
405	7025.8406 	-339.2591 	1572.8556  1
406	6954.9672 	-332.1462 	1972.8606  1
410	7014.7530 	  279.3539 	-1457.5032 1
411	7027.2403 	  248.5640	-831.2580  1
412	7027.1753 	  250.5487 	-230.9939  1
413	7028.4262 	  237.5559 	365.5707   1
414	7027.3911 	  238.4026 	970.9847   1
415	7025.0057 	  254.0452 	1571.8279  1
416	6957.0774 	  233.0137	1956.1091  1
420	7014.9388 	  850.0009 	-1455.1062 1
421	7025.7460 	  830.6669	-829.3761  1
422	7025.7336 	  827.8214 	-230.7902  1
423	7026.5862 	  816.8680	367.6907   1
424	7025.9768 	  813.0637 	970.4284   1
425	7024.2201 	  826.8023 	1571.9011  1
426	6959.5659 	  826.3408 	1972.9166  1
430	7015.3424 	1404.7159 	-1455.7298 1
431	7024.7325 	1405.3865 	-838.2860  1
432	7024.6611 	1409.2670 	-234.3365  1
433	7024.4429 	1416.5242 	369.3773   1
434	7024.1065 	1414.9804 	972.3267   1
435	7023.3684 	1422.3857 	1572.2965  1
436	6958.9462 	1420.5127 	1973.0277  1
440	7012.3219 	2049.3620 	-1450.5510 1
441	7022.9568 	2091.1118 	-829.2214  1
442	7023.3542 	2049.7185 	-229.9718  1
443	7023.1883 	2074.3591 	369.7293   1
444	7023.3589 	2064.0387 	971.0763   1
445	7022.6379 	2052.7630 	1572.6031  1
446	6957.2084 	2025.3569 	1947.7043  1
450	7012.3163 	2655.1839 	-1454.2800 1
451	7022.6122 	2669.5787 	-829.7300  1
452	7022.6446 	2665.0913 	-228.2616  1
453	7022.2845 	2678.1663 	370.8021   1
454	7022.6109 	2682.5932 	970.2558   1
455	7022.4576 	2685.6094 	1570.9414  1
456	6956.5493 	2651.6939 	1965.5608  1
460	7010.1306 	3255.9444 	-1453.9908 1
461	7021.4136 	3271.8248 	-831.1081  1
462	7021.5885 	3265.3643 	-227.6376  1
463	7021.4624 	3274.9141 	370.7078   1
464	7021.4797 	3273.3307 	972.6051   1
465	7020.7731 	3275.0588 	1570.5046  1
466	6956.5315 	3254.2761 	1945.0033  1
470	7008.7062 	3917.5510 	-1454.0714 1
471	7020.2715 	3894.2393 	-831.3671  1
472	7020.6290 	3895.2344 	-230.3495  1
473	7020.1269 	3874.9165 	370.0932   1
474	7019.9767 	3867.9740 	970.5230   1
475	7019.3098 	3860.1017 	1569.3714  1
476	6955.0529 	3848.9678 	1974.3887  1
480	7008.8850 	4491.0674 	-1453.9599 1
481	7019.5637 	4474.4808 	-831.4465  1
482	7019.2485 	4466.2034 	-229.5078  1
483	7018.8064 	4456.6249 	371.0218   1
484	7018.3169 	4475.0117 	969.3100   1
485	7016.9700 	4483.1132 	1571.8194  1
486	6953.4456 	4470.5231 	1962.8863  1
490	7008.2527 	5094.3029 	-1451.5810 1
491	7018.3485 	5096.6456 	-832.0748  1
492	7016.7288 	5080.7022 	-229.9686  1
493	7017.0365 	5075.2283 	368.8073   1
494	7017.1572 	5044.6235 	970.6028   1
495	7014.9255 	5033.0028 	1571.4664  1
